	PMID	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Sum	Review	Update	Diff
Mascot	10612281						11	48	74	160	248	349	372	391	400	379	469	477	414	394	322	294	261	243	185	5491	1	1	0
SEQUEST	24226387	11	31	47	68	52	96	119	134	148	234	281	263	298	271	248	259	267	243	233	213	209	184	195	143	4247	2	2	0
Andromeda	21254760																	19	90	174	195	245	323	311	333	1690	4	3	1
X! Tandem	14976030											20	41	65	74	87	121	144	141	134	146	134	152	115	104	1478	3	4	-1
OMSSA	15473683											14	19	52	56	64	88	103	91	84	104	86	80	65	48	954	5	5	0
Paragon	17533153													1	29	51	73	67	101	63	76	94	75	81	65	776	6	6	0
InsPecT	16013882											1	12	27	40	39	61	61	46	38	33	25	14	19	12	428	7	7	0
MyriMatch	17269722													4	13	11	23	28	32	34	29	39	52	45	29	339	8	8	0
Comet	23148064																			2	6	46	63	70	76	263	13	9	4
MS-GF+	25358478																					24	59	77	76	236	17	10	7
OLAV	12923771									1	14	13	15	18	18	20	34	27	14	23	11	9	5	4	3	229	9	11	-2
Sonar	11788990								6	20	31	26	23	16	11	12	7	7	0	1	0	5	1	1	1	168	10	12	-2
ProbID	12422357								1	7	13	23	22	25	17	9	17	8	7	3	2	5	3	2	2	166	11	13	-2
PEP_PROBE	14572045										23	27	15	20	15	13	6	11	5	2	5	6	1	1	0	150	12	14	-2
PeaksDB	22186715																			3	8	19	23	34	56	143	33	15	18
MassMatrix	19235167																6	7	17	20	20	16	13	12	9	120	14	16	-2
pFind 2.0	17702057														2	2	8	1	8	7	15	21	15	22	12	113	15	17	-2
MS Amanda	24909410																				1	18	31	19	26	95	21	18	3
Crux	18505281														1	3	9	7	16	13	14	8	8	7	6	92	16	19	-3
pFind 1.0	15817687												2	4	1	2	6	0	6	7	14	11	7	10	6	76	18	20	-2
Morpheus	23323968																			6	8	9	15	13	15	66	24	21	3
Tide	21761931																		3	4	5	9	18	11	12	62	23	22	1
ProbIDtree	16196091												5	7	2	3	7	6	4	3	6	5	5	3	2	58	19	23	-4
DBDigger	15828782											2	9	7	10	1	2	4	4	2	1	1	0	1	0	44	20	24	-4
Batch-Tag	19809093																4	7	6	2	7	3	7	2	5	43	22	25	-3
SQID	21204564																	1	9	7	4	5	2	2	0	30	25	26	-1
Zscore	19354237																8	3	4	5	1	4	0	1	0	26	26	27	-1
MassWiz	21417338																	3	4	5	1	1	9	2	0	25	27	28	-1
RAId_DbS	17961253, 18954448																2	6	1	3	0	2	4	1	1	20	30	29	1
VEMS	12692000										3	0	6	0	2	2	1	1	1	0	0	0	1	0	0	17	28	30	-2
MacroSEQUEST	20684545																		7	2	0	6	1	0	0	16	29	31	-2
MSPolygraph	21926122																			3	2	2	3	2	0	12	32	32	0
Tempest	22640374																			3	3	4	0	0	1	11	31	33	-2
